season,player_name,fanPts,complete_pass,fumble,incomplete_pass,interception,no_huddle,pass_attempt,pass_touchdown,qb_dropback,qb_hit,rush_attempt,rush_touchdown,shotgun,tackled_for_loss,touchdown,air_yards,yards_after_catch,yards_gained,rec_yards,rush_yards,fanPts-1,complete_pass-1,fumble-1,incomplete_pass-1,interception-1,no_huddle-1,pass_attempt-1,pass_touchdown-1,qb_dropback-1,qb_hit-1,rush_attempt-1,rush_touchdown-1,shotgun-1,tackled_for_loss-1,touchdown-1,air_yards-1,yards_after_catch-1,yards_gained-1,rec_yards-1,rush_yards-1,fanPts-2,complete_pass-2,fumble-2,incomplete_pass-2,interception-2,no_huddle-2,pass_attempt-2,pass_touchdown-2,qb_dropback-2,qb_hit-2,rush_attempt-2,rush_touchdown-2,shotgun-2,tackled_for_loss-2,touchdown-2,air_yards-2,yards_after_catch-2,yards_gained-2,rec_yards-2,rush_yards-2,fanPts-3,complete_pass-3,fumble-3,incomplete_pass-3,interception-3,no_huddle-3,pass_attempt-3,pass_touchdown-3,qb_dropback-3,qb_hit-3,rush_attempt-3,rush_touchdown-3,shotgun-3,tackled_for_loss-3,touchdown-3,air_yards-3,yards_after_catch-3,yards_gained-3,rec_yards-3,rush_yards-3
1999,B.Parmalee,24.6,15.0,0.0,4.0,0.0,0.0,19.0,0.0,19.0,0.0,27.0,0.0,16.0,2.0,0.0,0.0,0.0,246.0,113.0,133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,B.Schroeder,133.1,74.0,4.0,44.0,3.0,0.0,121.0,5.0,121.0,0.0,0.0,0.0,23.0,0.0,6.0,0.0,0.0,1051.0,1051.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,B.Shaw,56.7,28.0,0.0,14.0,1.0,0.0,44.0,3.0,44.0,0.0,0.0,0.0,22.0,0.0,3.0,0.0,0.0,387.0,387.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,B.Spence,7.5,3.0,0.0,3.0,0.0,0.0,6.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,B.Stablein,25.3,14.0,1.0,13.0,1.0,0.0,30.0,1.0,30.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,153.0,153.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,B.Still,11.0,10.0,0.0,14.0,1.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,110.0,110.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,B.Stokley,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,B.Tolliver,24.200000000000003,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,3.0,7.0,0.0,3.0,0.0,0.0,142.0,0.0,142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,C.Batch,20.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2.0,0.0,1.0,2.0,0.0,0.0,87.0,0.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,C.Bradford,91.9,37.0,1.0,50.0,3.0,0.0,91.0,5.0,91.0,0.0,0.0,0.0,20.0,0.0,5.0,0.0,0.0,639.0,639.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,C.Brazzell,12.6,7.0,0.0,10.0,1.0,0.0,18.0,0.0,18.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,126.0,126.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
