fanPts,rush_attempt,rush_touchdown,tackled_for_loss,yards_gained,fumble,touchdown,complete_pass,pass_attempt,pass_touchdown,air_yards,yards_after_catch,qb_dropback,qb_hit,qb_scramble,sack,fanPts-1,rush_attempt-1,rush_touchdown-1,tackled_for_loss-1,yards_gained-1,fumble-1,touchdown-1,complete_pass-1,pass_attempt-1,pass_touchdown-1,air_yards-1,yards_after_catch-1,qb_dropback-1,qb_hit-1,qb_scramble-1,sack-1,fanPts-2,rush_attempt-2,rush_touchdown-2,tackled_for_loss-2,yards_gained-2,fumble-2,touchdown-2,complete_pass-2,pass_attempt-2,pass_touchdown-2,air_yards-2,yards_after_catch-2,qb_dropback-2,qb_hit-2,qb_scramble-2,sack-2,fanPts-3,rush_attempt-3,rush_touchdown-3,tackled_for_loss-3,yards_gained-3,fumble-3,touchdown-3,complete_pass-3,pass_attempt-3,pass_touchdown-3,air_yards-3,yards_after_catch-3,qb_dropback-3,qb_hit-3,qb_scramble-3,sack-3
133.1,0.0,0.0,0.0,1051.0,4.0,6.0,74.0,121.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.7,0.0,0.0,0.0,387.0,0.0,3.0,28.0,44.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.5,0.0,0.0,0.0,15.0,0.0,1.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108.48,26.0,3.0,0.0,1912.0,6.0,11.0,139.0,288.0,7.0,0.0,0.0,284.0,19.0,0.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125.92000000000002,28.0,2.0,1.0,1848.0,6.0,16.0,151.0,304.0,13.0,0.0,0.0,303.0,32.0,0.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91.9,0.0,0.0,0.0,639.0,1.0,5.0,37.0,91.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.6,0.0,0.0,0.0,126.0,0.0,0.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.4,0.0,0.0,0.0,314.0,0.0,1.0,22.0,43.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237.0,0.0,0.0,0.0,1350.0,0.0,17.0,98.0,158.0,15.0,0.0,78.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,16.0,1.0,0.0,2166.0,8.0,19.0,174.0,337.0,16.0,0.0,0.0,334.0,30.0,0.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.7,0.0,0.0,0.0,327.0,1.0,1.0,26.0,48.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.6,132.0,2.0,19.0,446.0,2.0,2.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.400000000000006,1.0,0.0,1.0,424.0,2.0,4.0,44.0,78.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.5,0.0,0.0,0.0,35.0,0.0,1.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179.0,264.0,5.0,40.0,1490.0,3.0,6.0,31.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.2,0.0,0.0,0.0,22.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153.6,287.0,3.0,40.0,1256.0,4.0,6.0,45.0,68.0,2.0,0.0,33.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.6,36.0,0.0,2.0,336.0,0.0,1.0,28.0,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.2,0.0,0.0,0.0,8.0,1.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7,0.0,0.0,0.0,407.0,1.0,0.0,38.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.2000000000000002,6.0,0.0,0.0,28.0,2.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203.6,241.0,4.0,29.0,1756.0,4.0,6.0,56.0,76.0,2.0,0.0,15.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.16,0.0,0.0,0.0,4.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
