Field,Description,Use,Pass,Rec,Rush,Type,Tag,Binary,Numeric,String,ID,Prob,EPA,WPA,(Check)
replay_or_challenge_result,String indicating the result of the replay or challenge.,,,,,String,team,0,0,1,0,0,0,0,1
return_team,String abbreviation of the return team.,,,,,String,team,0,0,1,0,0,0,0,1
solo_tackle_1_team,Team of one of the players with a solo tackle.,,,,,String,team,0,0,1,0,0,0,0,1
solo_tackle_2_team,Team of one of the players with a solo tackle.,,,,,String,team,0,0,1,0,0,0,0,1
td_team,String abbreviation for which team scored the touchdown.,,,,,String,team,0,0,1,0,0,0,0,1
timeout_team,String abbreviation for which team called the timeout.,,,,,String,team,0,0,1,0,0,0,0,1
yrdln,String indicating the current field position for a given play.,,,,,String,team,0,0,1,0,0,0,0,1
first_down_pass,Binary indicator for if a passing play converted the first down.,,,,,Binary,uninteresting,1,0,0,0,0,0,0,1
first_down_penalty,Binary indicator for if a penalty converted the first down.,,,,,Binary,uninteresting,1,0,0,0,0,0,0,1
first_down_rush,Binary indicator for if a running play converted the first down.,,,,,Binary,uninteresting,1,0,0,0,0,0,0,1
fourth_down_converted,Binary indicator for if the first down was converted on fourth down.,,,,,Binary,uninteresting,1,0,0,0,0,0,0,1
fourth_down_failed,Binary indicator for if the posteam failed to convert first down on fourth down.,,,,,Binary,uninteresting,1,0,0,0,0,0,0,1
lateral_reception,Binary indicator for if a lateral occurred on the reception.,,,,,Binary,uninteresting,1,0,0,0,0,0,0,1
lateral_recovery,Binary indicator for if a lateral occurred on a fumble recovery.,,,,,Binary,uninteresting,1,0,0,0,0,0,0,1
lateral_return,Binary indicator for if a lateral occurred on a return.,,,,,Binary,uninteresting,1,0,0,0,0,0,0,1
lateral_rush,Binary indicator for if a lateral occurred on a run.,,,,,Binary,uninteresting,1,0,0,0,0,0,0,1
qb_kneel,Binary indicator for whether or not the QB took a knee.,,,,,Binary,uninteresting,1,0,0,0,0,0,0,1
qb_spike,Binary indicator for whether or not the QB spiked the ball.,,,,,Binary,uninteresting,1,0,0,0,0,0,0,1
third_down_converted,Binary indicator for if the first down was converted on third down.,,,,,Binary,uninteresting,1,0,0,0,0,0,0,1
third_down_failed,Binary indicator for if the posteam failed to convert first down on third down.,,,,,Binary,uninteresting,1,0,0,0,0,0,0,1
lateral_interception_player_id,Unique indentifier for the player that received the lateral on an interception.,,,,,ID,uninteresting,0,0,0,1,0,0,0,1
lateral_kickoff_returner_player_id,Unique identifier for the player that received the lateral on a kickoff return.,,,,,ID,uninteresting,0,0,0,1,0,0,0,1
