,Algorithm,Type,Metric,Position,Subset,Multioutput,Opponent Data,PCA,Season Total + Play Mean Data,Season Total Data,Split by Position,Teammate Data
183,Neural Networks,MLP,RMSE,TE,"Downselected, Standardized Features",30.2,35.6,44.2,,,32.0,
184,Neural Networks,MLP,RMSE,TE,Optimized,29.4,,31.5,,,32.6,
185,Neural Networks,MLP,RMSE,WR,"Downselected, Standardized Features",56.8,51.4,78.7,,,58.3,
186,Neural Networks,MLP,RMSE,WR,Optimized,55.3,,59.1,,,56.6,
187,Neural Networks,MLP,R^2,All,Base Model,,,,0.36,,,
188,Neural Networks,MLP,R^2,All,Base/Default Model,,,,,0.4,,
189,Neural Networks,MLP,R^2,All,Hyperparameter Optimization,,,,,0.45,,
190,Neural Networks,MLP,R^2,All,Manual Feature Selection,,,,0.46,0.45,,
191,Neural Networks,MLP,R^2,All,Optimized + Standardized,,,,0.46,,,
192,Neural Networks,MLP,R^2,All,Standardization,,,,,0.45,,
193,Neural Networks,MLP,R^2,QB,"Downselected, Standardized Features",0.38,0.46,0.13,,,0.4,
194,Neural Networks,MLP,R^2,QB,Optimized,0.42,,0.22,,,0.44,
195,Neural Networks,MLP,R^2,RB,"Downselected, Standardized Features",0.38,0.37,0.07,,,0.38,
196,Neural Networks,MLP,R^2,RB,Optimized,0.44,,0.3,,,0.42,
197,Neural Networks,MLP,R^2,TE,"Downselected, Standardized Features",0.46,0.32,-0.12,,,0.41,
198,Neural Networks,MLP,R^2,TE,Optimized,0.49,,0.43,,,0.39,
199,Neural Networks,MLP,R^2,WR,"Downselected, Standardized Features",0.37,0.3,-0.17,,,0.36,
200,Neural Networks,MLP,R^2,WR,Optimized,0.4,,0.34,,,0.39,
